Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
AIM/CGE,SSP3-Baseline,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.505,417.889,451.997,491.255,535.221,583.692,636.942,695.674,760.992,834.341,
IMAGE,SSP1-19,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.505,412.142,424.682,425.527,420.476,413.876,406.784,398.628,389.057,377.897,
IMAGE,SSP1-26,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.505,414.55,436.543,452.291,460.693,462.902,460.642,453.862,443.091,432.171,
MESSAGE-GLOBIOM,SSP2-45,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.505,414.723,440.921,468.53,496.066,521.324,542.585,558.132,565.688,566.859,
REMIND-MAGPIE,SSP5-Baseline,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.505,417.249,452.767,499.678,559.692,635.793,730.026,841.52,963.842,1088.97,
